

[07/09/2023, 18:22:48] plate_detected; ['BBE2770']
[07/09/2023, 18:22:48] white_plate_detected; ['BBE2770']
[07/09/2023, 18:22:48] plate_detected; ['BBE2770']
[07/09/2023, 18:22:48] plate_detected; ['BE2770']
[07/09/2023, 18:22:49] plate_detected; ['BBE2770']
[07/09/2023, 18:22:49] plate_detected; ['BBE2770']
[07/09/2023, 18:22:49] plate_detected; ['BBE2770']
[07/09/2023, 18:22:50] plate_detected; ['BBE2770']
[07/09/2023, 18:22:50] plate_detected; ['BBE2770']
[07/09/2023, 18:22:51] plate_detected; ['BBE2770']
[07/09/2023, 18:22:51] plate_detected; ['BBE2770']
[07/09/2023, 18:22:51] plate_detected; ['BBE2770']
[07/09/2023, 18:22:52] plate_detected; ['BBE2772']
[07/09/2023, 18:22:52] plate_detected; ['BQE773']
[07/09/2023, 18:22:52] plate_detected; ['BWF73']

[07/09/2023, 18:43:44] plate_detected; ['B8522']

[07/09/2023, 18:47:09] plate_detected; ['BK58']

[07/09/2023, 19:54:46] plate_detected; ['S1N2ZQ']
[07/09/2023, 19:54:47] plate_detected; ['BN']
[07/09/2023, 19:54:47] plate_detected; ['AAS5']
[07/09/2023, 19:54:47] plate_detected; ['WW16S2']
[07/09/2023, 19:54:47] plate_detected; ['WW16S2']
[07/09/2023, 19:54:47] plate_detected; ['VW62S2']
[07/09/2023, 19:54:48] plate_detected; ['BFN16L']
[07/09/2023, 19:54:48] plate_detected; ['BPJMW0G2']
[07/09/2023, 19:54:49] plate_detected; ['BPJMKUP0']

[07/09/2023, 20:12:57] plate_detected; ['135']

[07/09/2023, 20:33:23] plate_detected; ['AGU15520']
[07/09/2023, 20:33:24] plate_detected; ['AG11552']
[07/09/2023, 20:33:24] plate_detected; ['AGU1550']
[07/09/2023, 20:33:24] white_plate_detected; ['AGU1550']
[07/09/2023, 20:33:24] plate_detected; ['A63152']
[07/09/2023, 20:33:24] plate_detected; ['AG2115N']

