[07/28/2023, 17:33:28] plate_detected; ['AA11']
[07/28/2023, 17:33:28] plate_detected; ['AA11']
[07/28/2023, 17:33:28] plate_detected; ['AA11']
[07/28/2023, 17:33:28] plate_detected; ['AA11']
[07/28/2023, 17:33:29] plate_detected; ['AA11']
[07/28/2023, 17:33:29] plate_detected; ['AA11']
[07/28/2023, 17:33:29] plate_detected; ['AA11']
[07/28/2023, 17:33:30] plate_detected; ['AAT111']
[07/28/2023, 17:33:30] plate_detected; ['BA111']
[07/28/2023, 17:33:30] plate_detected; ['AAL11']
[07/28/2023, 17:33:30] plate_detected; ['AA11']
[07/28/2023, 17:33:31] plate_detected; ['AAT111']
[07/28/2023, 17:33:34] plate_detected; ['AKK8125']
[07/28/2023, 17:33:34] white_plate_detected; ['AKK8125']
[07/28/2023, 17:33:34] plate_detected; ['AKK8125']
[07/28/2023, 17:33:34] plate_detected; ['AKK8125']

[07/28/2023, 17:34:15] plate_detected; ['AL1A91']
[07/28/2023, 17:34:39] plate_detected; ['1AAX1']
[07/28/2023, 17:34:39] plate_detected; ['AAX1']
[07/28/2023, 17:34:39] plate_detected; ['A1129']
[07/28/2023, 17:34:40] plate_detected; ['A191']
[07/28/2023, 17:34:40] plate_detected; ['AA191']
[07/28/2023, 17:34:40] plate_detected; ['A1A1']
[07/28/2023, 17:34:40] plate_detected; ['A1A1']
[07/28/2023, 17:34:40] plate_detected; ['A1A1']
[07/28/2023, 17:34:40] plate_detected; ['A1A1']
[07/28/2023, 17:34:41] plate_detected; ['A1A1']
[07/28/2023, 17:34:41] plate_detected; ['A1A1']
[07/28/2023, 17:34:41] plate_detected; ['A1A1']
[07/28/2023, 17:34:41] plate_detected; ['A1A1']
[07/28/2023, 17:34:42] plate_detected; ['A1A1']
[07/28/2023, 17:34:42] plate_detected; ['A1A1']
[07/28/2023, 17:34:42] plate_detected; ['A1191']
[07/28/2023, 17:34:43] plate_detected; ['A111']
[07/28/2023, 17:34:43] plate_detected; ['A111']
[07/28/2023, 17:34:43] plate_detected; ['AL111']
[07/28/2023, 17:34:44] plate_detected; ['A111']
[07/28/2023, 17:34:44] plate_detected; ['AL111']
[07/28/2023, 17:34:44] plate_detected; ['AA11']
[07/28/2023, 17:34:44] plate_detected; ['AAT111']
[07/28/2023, 17:34:45] plate_detected; ['AAT111']
[07/28/2023, 17:34:45] plate_detected; ['AAL111']
[07/28/2023, 17:34:45] plate_detected; ['AA1']
[07/28/2023, 17:34:45] plate_detected; ['AAT11']
[07/28/2023, 17:34:46] plate_detected; ['AAL11']
[07/28/2023, 17:34:46] plate_detected; ['AAT11']
[07/28/2023, 17:34:46] plate_detected; ['AA11']
[07/28/2023, 17:34:46] plate_detected; ['AAT11']
[07/28/2023, 17:34:47] plate_detected; ['AAL11']
[07/28/2023, 17:34:47] plate_detected; ['AAL11']
[07/28/2023, 17:34:47] plate_detected; ['AAT11']
[07/28/2023, 17:34:47] plate_detected; ['AAL11']
[07/28/2023, 17:34:47] plate_detected; ['AAL11']
[07/28/2023, 17:34:48] plate_detected; ['AA11']
[07/28/2023, 17:34:48] plate_detected; ['AA11']
[07/28/2023, 17:34:48] plate_detected; ['AAT11']
[07/28/2023, 17:34:48] plate_detected; ['AA11']
[07/28/2023, 17:34:48] plate_detected; ['AA11']
[07/28/2023, 17:34:49] plate_detected; ['AA11']
[07/28/2023, 17:34:49] plate_detected; ['AA11']
[07/28/2023, 17:34:49] plate_detected; ['AAL11']
[07/28/2023, 17:34:50] plate_detected; ['AA11']
[07/28/2023, 17:34:50] plate_detected; ['AA11']
[07/28/2023, 17:34:50] plate_detected; ['AA11']
[07/28/2023, 17:34:51] plate_detected; ['AA11']
[07/28/2023, 17:34:51] plate_detected; ['AAL11']
[07/28/2023, 17:34:51] plate_detected; ['AAL11']
[07/28/2023, 17:34:51] plate_detected; ['AAT11']
[07/28/2023, 17:34:52] plate_detected; ['AA11']
[07/28/2023, 17:34:52] plate_detected; ['AAL11']
